Camera ID,Camera Name,Event Created At
5,PTZ-Oghi Solar,2024-05-16 02:33:03.681394+00:00
3,PTZ-Danna Top,2024-05-16 02:30:19.977292+00:00
8,PTZ-Massar Sector 14,2024-05-16 02:10:27.637544+00:00
3,PTZ-Danna Top,2024-05-16 01:59:14.080873+00:00
5,PTZ-Oghi Solar,2024-05-16 01:59:07.897958+00:00
3,PTZ-Danna Top,2024-05-16 01:41:13.791155+00:00
8,PTZ-Massar Sector 14,2024-05-16 01:40:00.964536+00:00
5,PTZ-Oghi Solar,2024-05-16 01:24:00.469444+00:00
3,PTZ-Danna Top,2024-05-16 01:10:45.023014+00:00
8,PTZ-Massar Sector 14,2024-05-16 01:08:40.232719+00:00
5,PTZ-Oghi Solar,2024-05-16 00:50:00.856445+00:00
3,PTZ-Danna Top,2024-05-16 00:39:58.645242+00:00
8,PTZ-Massar Sector 14,2024-05-16 00:37:50.826770+00:00
5,PTZ-Oghi Solar,2024-05-16 00:15:22.672612+00:00
3,PTZ-Danna Top,2024-05-16 00:09:08.471663+00:00
8,PTZ-Massar Sector 14,2024-05-16 00:06:33.518567+00:00
5,PTZ-Oghi Solar,2024-05-15 23:40:26.856812+00:00
3,PTZ-Danna Top,2024-05-15 23:38:31.267935+00:00
8,PTZ-Massar Sector 14,2024-05-15 23:36:27.811209+00:00
3,PTZ-Danna Top,2024-05-15 23:08:03.578329+00:00
5,PTZ-Oghi Solar,2024-05-15 23:05:55.133415+00:00
8,PTZ-Massar Sector 14,2024-05-15 23:05:08.712438+00:00
3,PTZ-Danna Top,2024-05-15 22:36:25.860993+00:00
8,PTZ-Massar Sector 14,2024-05-15 22:35:09.539961+00:00
5,PTZ-Oghi Solar,2024-05-15 22:31:33.091336+00:00
3,PTZ-Danna Top,2024-05-15 22:05:40.903607+00:00
8,PTZ-Massar Sector 14,2024-05-15 22:03:37.662775+00:00
5,PTZ-Oghi Solar,2024-05-15 21:58:00.320555+00:00
3,PTZ-Danna Top,2024-05-15 21:34:55.093709+00:00
8,PTZ-Massar Sector 14,2024-05-15 21:32:42.818837+00:00
5,PTZ-Oghi Solar,2024-05-15 21:23:13.428425+00:00
3,PTZ-Danna Top,2024-05-15 21:05:12.199852+00:00
8,PTZ-Massar Sector 14,2024-05-15 21:01:56.493553+00:00
5,PTZ-Oghi Solar,2024-05-15 20:47:48.684193+00:00
3,PTZ-Danna Top,2024-05-15 20:33:25.139897+00:00
8,PTZ-Massar Sector 14,2024-05-15 20:31:11.130655+00:00
5,PTZ-Oghi Solar,2024-05-15 20:13:17.431650+00:00
3,PTZ-Danna Top,2024-05-15 20:02:39.986116+00:00
8,PTZ-Massar Sector 14,2024-05-15 20:00:25.018844+00:00
5,PTZ-Oghi Solar,2024-05-15 19:38:46.114576+00:00
3,PTZ-Danna Top,2024-05-15 19:31:54.721918+00:00
8,PTZ-Massar Sector 14,2024-05-15 19:29:39.473340+00:00
5,PTZ-Oghi Solar,2024-05-15 19:04:14.966109+00:00
3,PTZ-Danna Top,2024-05-15 19:01:11.629093+00:00
8,PTZ-Massar Sector 14,2024-05-15 18:59:00.699768+00:00
3,PTZ-Danna Top,2024-05-15 18:30:25.270599+00:00
5,PTZ-Oghi Solar,2024-05-15 18:29:42.369331+00:00
8,PTZ-Massar Sector 14,2024-05-15 18:28:10.829162+00:00
3,PTZ-Danna Top,2024-05-15 17:59:40.350048+00:00
8,PTZ-Massar Sector 14,2024-05-15 17:57:28.632403+00:00
5,PTZ-Oghi Solar,2024-05-15 17:55:14.810967+00:00
3,PTZ-Danna Top,2024-05-15 17:28:56.491269+00:00
8,PTZ-Massar Sector 14,2024-05-15 17:26:50.202859+00:00
5,PTZ-Oghi Solar,2024-05-15 17:20:40.120480+00:00
8,PTZ-Massar Sector 14,2024-05-15 17:04:17.778316+00:00
8,PTZ-Massar Sector 14,2024-05-15 16:58:22.008012+00:00
3,PTZ-Danna Top,2024-05-15 16:58:15.888487+00:00
8,PTZ-Massar Sector 14,2024-05-15 16:55:51.338659+00:00
8,PTZ-Massar Sector 14,2024-05-15 16:53:27.683171+00:00
